[Mon Sep 24 10:05:59.959061 2018] [proxy_fcgi:error] [pid 2234] [client 192.168.33.143:55608] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 12:42:20.983271 2018] [proxy_fcgi:error] [pid 2236] [client 192.168.33.143:55043] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:42:39.331311 2018] [proxy_fcgi:error] [pid 2234] [client 192.168.33.143:55097] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:44:23.027991 2018] [proxy_fcgi:error] [pid 17356] [client 192.168.33.143:55254] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:46:11.472196 2018] [proxy_fcgi:error] [pid 2235] [client 192.168.33.143:55424] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 67\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:50:16.611357 2018] [proxy_fcgi:error] [pid 6564] [client 192.168.33.143:55807] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:50:32.023344 2018] [proxy_fcgi:error] [pid 6564] [client 192.168.33.143:55807] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 12:53:34.617230 2018] [proxy_fcgi:error] [pid 6564] [client 192.168.33.143:56196] AH01071: Got error 'PHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\nPHP message: PHP Warning:  Invalid argument supplied for foreach() in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-load-sponsor-function.php on line 73\n', referer: http://dev.avessoc.org.ve/wp-admin/post-new.php?post_type=page
[Mon Sep 24 13:52:59.123269 2018] [proxy_fcgi:error] [pid 14216] [client 192.168.33.143:61886] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/?page_id=2450&preview=true
[Mon Sep 24 13:54:20.092959 2018] [proxy_fcgi:error] [pid 17353] [client 192.168.33.143:62022] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 13:55:35.210434 2018] [proxy_fcgi:error] [pid 12488] [client 192.168.33.143:62154] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/?page_id=2450&preview=true
[Mon Sep 24 13:59:37.571000 2018] [proxy_fcgi:error] [pid 2235] [client 192.168.33.143:62564] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 14:03:49.059137 2018] [proxy_fcgi:error] [pid 2235] [client 192.168.33.143:62964] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/?page_id=2450&preview=true
[Mon Sep 24 14:05:23.885491 2018] [proxy_fcgi:error] [pid 6564] [client 192.168.33.143:63115] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 14:10:34.029537 2018] [proxy_fcgi:error] [pid 17353] [client 192.168.33.143:63600] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 14:11:40.264992 2018] [proxy_fcgi:error] [pid 6564] [client 192.168.33.143:63681] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
[Mon Sep 24 14:18:57.243396 2018] [proxy_fcgi:error] [pid 12488] [client 192.168.33.143:64542] AH01071: Got error 'PHP message: PHP Warning:  include(): open_basedir restriction in effect. File(../notifications.php) is not within the allowed path(s): (/var/www/clients/client6/web14/web:/var/www/clients/client6/web14/private:/var/www/clients/client6/web14/tmp:/var/www/dev.avessoc.org.ve/web:/srv/www/dev.avessoc.org.ve/web:/usr/share/php5:/usr/share/php:/tmp:/usr/share/phpmyadmin:/etc/phpmyadmin:/var/lib/phpmyadmin) in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(../notifications.php): failed to open stream: Operation not permitted in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\nPHP message: PHP Warning:  include(): Failed opening '../notifications.php' for inclusion (include_path='.:/usr/share/php') in /var/www/clients/client6/web14/web/wp-content/themes/hestia-child/page-templates/function-templates/template-search-sponsor-function.php on line 2\n', referer: http://dev.avessoc.org.ve/avessos-buscar-patrocinante/
